date	xml_link	pdf_link	file
05-12-2013	https://parlinfo.aph.gov.au//parlInfo/download/chamber/hansards/0079e0e5-e868-49d0-99d6-4be680886bd3/toc_unixml/Senate_2013_12_05_2134_Official.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/chamber/hansards/0079e0e5-e868-49d0-99d6-4be680886bd3/toc_pdf/Senate_2013_12_05_2134_Official.pdf;fileType=application%2Fpdf#search=%22chamber/hansards/0079e0e5-e868-49d0-99d6-4be680886bd3/0000%22	Id%3A%22chamber%2Fhansards%2F0079e0e5-e868-49d0-99d6-4be680886bd3%2F0000%22.html
08-02-2018	https://parlinfo.aph.gov.au//parlInfo/download/chamber/hansards/0190ecee-5b78-4065-b6a9-0dd14f1dd9d6/toc_unixml/Senate_2018_02_08_5843_Official.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/chamber/hansards/0190ecee-5b78-4065-b6a9-0dd14f1dd9d6/toc_pdf/Senate_2018_02_08_5843_Official.pdf;fileType=application%2Fpdf#search=%22chamber/hansards/0190ecee-5b78-4065-b6a9-0dd14f1dd9d6/0000%22	Id%3A%22chamber%2Fhansards%2F0190ecee-5b78-4065-b6a9-0dd14f1dd9d6%2F0000%22.html
13-11-2013	https://parlinfo.aph.gov.au//parlInfo/download/chamber/hansards/0217fd09-dc06-4bd4-a21e-0cea40cf41ba/toc_unixml/Senate_2013_11_13_2091_Official.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/chamber/hansards/0217fd09-dc06-4bd4-a21e-0cea40cf41ba/toc_pdf/Senate_2013_11_13_2091_Official.pdf;fileType=application%2Fpdf#search=%22chamber/hansards/0217fd09-dc06-4bd4-a21e-0cea40cf41ba/0000%22	Id%3A%22chamber%2Fhansards%2F0217fd09-dc06-4bd4-a21e-0cea40cf41ba%2F0000%22.html
04-12-2014	https://parlinfo.aph.gov.au//parlInfo/download/chamber/hansards/031d80d7-61ca-407e-9e56-9e2d9d467e42/toc_unixml/Senate_2014_12_04_3109_Official.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/chamber/hansards/031d80d7-61ca-407e-9e56-9e2d9d467e42/toc_pdf/Senate_2014_12_04_3109_Official.pdf;fileType=application%2Fpdf#search=%22chamber/hansards/031d80d7-61ca-407e-9e56-9e2d9d467e42/0000%22	Id%3A%22chamber%2Fhansards%2F031d80d7-61ca-407e-9e56-9e2d9d467e42%2F0000%22.html
02-12-2019	https://parlinfo.aph.gov.au//parlInfo/download/chamber/hansards/034e579d-037b-4e71-b359-fe406d617763/toc_unixml/Senate_2019_12_02_7413_Official.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/chamber/hansards/034e579d-037b-4e71-b359-fe406d617763/toc_pdf/Senate_2019_12_02_7413_Official.pdf;fileType=application%2Fpdf#search=%22chamber/hansards/034e579d-037b-4e71-b359-fe406d617763/0000%22	Id%3A%22chamber%2Fhansards%2F034e579d-037b-4e71-b359-fe406d617763%2F0000%22.html
12-09-2011	https://parlinfo.aph.gov.au//parlInfo/download/chamber/hansards/04d60fe2-8966-45c3-9002-ef23ce5492eb/toc_unixml/Senate_2011_09_12_409_Official.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/chamber/hansards/04d60fe2-8966-45c3-9002-ef23ce5492eb/toc_pdf/Senate_2011_09_12_409_Official.pdf;fileType=application%2Fpdf#search=%22chamber/hansards/04d60fe2-8966-45c3-9002-ef23ce5492eb/0000%22	Id%3A%22chamber%2Fhansards%2F04d60fe2-8966-45c3-9002-ef23ce5492eb%2F0000%22.html
22-02-2021	https://parlinfo.aph.gov.au//parlInfo/download/chamber/hansards/054868d7-6552-4512-b11a-f5685e5270ec/toc_unixml/Senate_2021_02_22_8509_Official.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/chamber/hansards/054868d7-6552-4512-b11a-f5685e5270ec/toc_pdf/Senate_2021_02_22_8509_Official.pdf;fileType=application%2Fpdf#search=%22chamber/hansards/054868d7-6552-4512-b11a-f5685e5270ec/0000%22	Id%3A%22chamber%2Fhansards%2F054868d7-6552-4512-b11a-f5685e5270ec%2F0000%22.html
22-02-2021	https://parlinfo.aph.gov.au//parlInfo/download/chamber/hansards/054868d7-6552-4512-b11a-f5685e5270ec/toc_unixml/Senate_2021_02_22_8509_Official.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/chamber/hansards/054868d7-6552-4512-b11a-f5685e5270ec/toc_pdf/Senate_2021_02_22_8509_Official.pdf;fileType=application%2Fpdf#search=%22chamber/hansards/054868d7-6552-4512-b11a-f5685e5270ec/0044%22	Id%3A%22chamber%2Fhansards%2F054868d7-6552-4512-b11a-f5685e5270ec%2F0044%22.html
26-06-2018	https://parlinfo.aph.gov.au//parlInfo/download/chamber/hansards/067f08aa-4f31-4cb6-92b7-6486f425109a/toc_unixml/Senate_2018_06_26_6242_Official.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/chamber/hansards/067f08aa-4f31-4cb6-92b7-6486f425109a/toc_pdf/Senate_2018_06_26_6242_Official.pdf;fileType=application%2Fpdf#search=%22chamber/hansards/067f08aa-4f31-4cb6-92b7-6486f425109a/0000%22	Id%3A%22chamber%2Fhansards%2F067f08aa-4f31-4cb6-92b7-6486f425109a%2F0000%22.html
27-06-2012	https://parlinfo.aph.gov.au//parlInfo/download/chamber/hansards/0705f25a-f740-4478-88ad-972ca120a077/toc_unixml/Senate_2012_06_27_1155_Official.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/chamber/hansards/0705f25a-f740-4478-88ad-972ca120a077/toc_pdf/Senate_2012_06_27_1155_Official.pdf;fileType=application%2Fpdf#search=%22chamber/hansards/0705f25a-f740-4478-88ad-972ca120a077/0000%22	Id%3A%22chamber%2Fhansards%2F0705f25a-f740-4478-88ad-972ca120a077%2F0000%22.html
